iter	Logloss
0	0.5713262919
1	0.5142253371
2	0.4764391369
3	0.4554253135
4	0.4433259124
5	0.4276651467
6	0.4150269191
7	0.4062786158
8	0.4008467777
9	0.3942148983
10	0.3827221625
11	0.3777803708
12	0.3718145668
13	0.3661941879
14	0.3630685668
15	0.3575534879
16	0.3475661424
17	0.3433933599
18	0.3414761861
19	0.3372985587
20	0.332823799
21	0.3296600354
22	0.3254789612
23	0.3220687936
24	0.3165966808
25	0.3135964381
26	0.3113293314
27	0.3069067978
28	0.304111217
29	0.2999913291
30	0.2969111632
31	0.2939546631
32	0.2908013754
33	0.2878538083
34	0.2851485925
35	0.283053209
36	0.2795773211
37	0.2759022268
38	0.2740931231
39	0.2704965811
40	0.2686888937
41	0.2663667358
42	0.2639990407
43	0.2609568424
44	0.2560003761
45	0.2534840339
46	0.2516047035
47	0.2481541398
48	0.2458916633
49	0.2445534696
50	0.2432962159
51	0.240337644
52	0.237335816
53	0.2355580153
54	0.2338944455
55	0.2302076792
56	0.2280947823
57	0.2254678082
58	0.2233411866
59	0.2216611644
60	0.2201686399
61	0.2182600144
62	0.2168653889
63	0.2143841188
64	0.2116749181
65	0.2101316394
66	0.2092221913
67	0.207227821
68	0.2046248676
69	0.2026649451
70	0.2011455845
71	0.1998798279
72	0.1983984464
73	0.1972085551
74	0.1950643363
75	0.193618866
76	0.1921311269
77	0.1911117162
78	0.1902726891
79	0.1887394925
80	0.187916093
81	0.1872439884
82	0.1854640574
83	0.1846627587
84	0.1831160225
85	0.1822137412
86	0.1815605986
87	0.1802378116
88	0.1783608966
89	0.1772053062
90	0.1763293485
91	0.1750837759
92	0.1734304896
93	0.1722995466
94	0.1710701396
95	0.1703939415
96	0.1689090966
97	0.1683615455
98	0.1673559988
99	0.1658602824
100	0.164904008
101	0.1641450941
102	0.1632367191
103	0.1627755406
104	0.1610468357
105	0.160233451
106	0.1595111998
107	0.1584151578
108	0.1574814841
109	0.1569963845
110	0.1562326013
111	0.1559947426
112	0.1554139591
113	0.1541182685
114	0.1530163212
115	0.1506986393
116	0.1492319258
117	0.1483476864
118	0.1472817572
119	0.1466143457
120	0.1458301255
121	0.1445778059
122	0.1441276585
123	0.1432828419
124	0.1428256812
125	0.142139279
126	0.1413102132
127	0.1403379837
128	0.1397196988
129	0.1388275564
130	0.1379664521
131	0.1371639329
132	0.1363815733
133	0.1356247447
134	0.1348691278
135	0.1342546194
136	0.1330826364
137	0.1323000942
138	0.1317834947
139	0.1311026391
140	0.1302322955
141	0.1296542111
142	0.1287542356
143	0.1282705687
144	0.1275453773
145	0.126809542
146	0.1260613105
147	0.1251389693
148	0.1244338125
149	0.1230635036
150	0.122613532
151	0.1218418738
152	0.1215084353
153	0.1202879426
154	0.1189363285
155	0.1182292378
156	0.1176215869
157	0.1168983698
158	0.1164444357
159	0.1160329564
160	0.1156421278
161	0.1147666286
162	0.1140749599
163	0.1136348955
164	0.1132967038
165	0.1130535075
166	0.1126888164
167	0.1115730555
168	0.1109806245
169	0.110384316
170	0.1098799365
171	0.1095103894
172	0.1090828314
173	0.1086404788
174	0.1081532732
175	0.1078141645
176	0.1073089526
177	0.1069493214
178	0.1059391288
179	0.105520823
180	0.1050527874
181	0.1044128088
182	0.1037871118
183	0.1033474881
184	0.1030626315
185	0.1026169283
186	0.1023691661
187	0.1018092349
188	0.1016533165
189	0.101360609
190	0.1006351954
191	0.1000647029
192	0.09918227662
193	0.0986762422
194	0.09840634437
195	0.09820141246
196	0.097867439
197	0.09711029519
198	0.09669794781
199	0.09615939262
200	0.09537318948
201	0.09502114586
202	0.09448818783
203	0.09405877171
204	0.09365998151
205	0.0934530874
206	0.0928756846
207	0.09254250585
208	0.09188446785
209	0.09151959103
210	0.09133290996
211	0.09107904807
212	0.09074926793
213	0.09036292857
214	0.0896474059
215	0.08929595119
216	0.08883233263
217	0.08850498172
218	0.08813193051
219	0.0877815971
220	0.08745304983
221	0.08718417703
222	0.0868955767
223	0.0863779992
224	0.08610884634
225	0.08552715623
226	0.08525265239
227	0.08485381482
228	0.084650307
229	0.08375625312
230	0.08347941982
231	0.08316018387
232	0.08291224479
233	0.08268671296
234	0.08229777021
235	0.08197804174
236	0.08172274328
237	0.08150114961
238	0.08116673827
239	0.08096823432
240	0.08043794007
241	0.08009935853
242	0.07989369767
243	0.07956326334
244	0.07922442309
245	0.07900699802
246	0.07883491258
247	0.07873700111
248	0.0785984208
249	0.07811141426
250	0.07776207674
251	0.07754848606
252	0.0772630219
253	0.07718971136
254	0.07699880342
255	0.07681297344
256	0.07661905182
257	0.07652588541
258	0.07630231606
259	0.07617656499
260	0.07601209978
261	0.07568046905
262	0.07552997456
263	0.07547522595
264	0.07518976959
265	0.07495701005
266	0.07490676845
267	0.07436692017
268	0.07425825009
269	0.0740615768
270	0.07393198064
271	0.0733848458
272	0.07324914404
273	0.0730715081
274	0.07289714901
275	0.07271389635
276	0.07230180587
277	0.07186017252
278	0.07153313241
279	0.07132654866
280	0.07106807038
281	0.07083858059
282	0.0706659475
283	0.07033908627
284	0.07019784783
285	0.06995382058
286	0.06977432203
287	0.06932100501
