iter	Passed	Remaining
405	6804	9954
406	6819	9935
407	6834	9916
408	6849	9897
409	6864	9878
410	6867	9842
411	6882	9822
412	6897	9803
413	6913	9785
414	6928	9766
415	6943	9747
416	6958	9727
417	6972	9708
418	6987	9689
419	7002	9669
420	7017	9650
421	7032	9632
422	7048	9614
423	7063	9596
424	7078	9576
425	7094	9558
426	7109	9541
427	7125	9522
428	7140	9503
429	7155	9485
430	7171	9467
431	7186	9448
432	7201	9430
433	7216	9411
434	7233	9395
435	7236	9360
436	7238	9326
437	7242	9292
438	7260	9277
439	7275	9259
440	7290	9241
441	7305	9223
442	7320	9204
443	7335	9185
444	7350	9167
445	7365	9149
446	7380	9130
447	7395	9112
448	7411	9094
449	7426	9077
450	7442	9059
451	7458	9043
452	7474	9025
453	7489	9007
454	7504	8989
455	7520	8971
456	7536	8954
457	7551	8936
458	7567	8919
459	7582	8900
460	7602	8888
461	7629	8884
462	7661	8886
463	7679	8871
464	7711	8872
465	7731	8859
466	7774	8873
467	7796	8862
468	7816	8849
469	7840	8840
470	7877	8847
471	7897	8834
472	7929	8834
473	7952	8825
474	7975	8815
475	7993	8799
476	8010	8782
477	8025	8763
478	8041	8746
479	8057	8728
480	8072	8710
481	8088	8692
482	8103	8674
483	8119	8655
484	8134	8637
485	8153	8623
486	8169	8605
487	8185	8588
488	8202	8571
489	8218	8553
490	8233	8535
491	8249	8517
492	8264	8499
493	8280	8481
494	8295	8463
495	8311	8445
496	8326	8427
497	8342	8409
498	8358	8391
499	8374	8374
500	8388	8355
501	8404	8337
502	8421	8320
503	8444	8310
504	8453	8286
505	8472	8271
506	8496	8261
507	8510	8242
508	8524	8223
509	8550	8215
510	8566	8197
511	8584	8182
512	8617	8181
513	8654	8182
514	8672	8167
515	8707	8167
516	8727	8153
517	8753	8144
518	8775	8132
519	8801	8124
520	8825	8114
521	8849	8103
522	8869	8089
523	8882	8068
524	8901	8053
525	8917	8035
526	8932	8016
527	8947	7998
528	8962	7980
529	8979	7963
530	8995	7945
531	9011	7927
532	9026	7908
533	9041	7890
534	9057	7872
535	9072	7854
536	9088	7836
537	9104	7818
538	9120	7800
539	9136	7782
540	9151	7764
541	9166	7745
542	9182	7727
543	9197	7709
544	9212	7690
545	9227	7672
546	9242	7654
547	9258	7636
548	9273	7618
549	9288	7599
550	9304	7582
551	9319	7563
552	9335	7545
553	9350	7527
554	9365	7509
555	9381	7491
556	9396	7473
557	9411	7454
558	9426	7436
559	9441	7418
560	9456	7400
561	9472	7382
562	9487	7364
563	9502	7346
564	9518	7328
565	9534	7311
566	9549	7292
567	9564	7274
568	9580	7256
569	9596	7239
570	9612	7222
571	9627	7203
572	9643	7186
573	9658	7168
574	9674	7150
575	9690	7133
576	9705	7115
577	9721	7097
578	9736	7079
579	9751	7061
580	9766	7043
581	9782	7025
582	9797	7007
583	9812	6989
584	9828	6972
585	9843	6954
586	9858	6936
587	9873	6918
588	9888	6900
589	9903	6882
590	9919	6864
591	9933	6846
592	9948	6828
593	9964	6810
594	9980	6793
595	9995	6775
596	10010	6757
597	10025	6739
598	10040	6721
599	10055	6703
600	10071	6686
601	10086	6668
602	10102	6651
603	10119	6634
604	10134	6616
605	10149	6598
606	10152	6573
607	10168	6555
608	10183	6537
609	10198	6520
610	10214	6503
611	10229	6485
612	10244	6467
613	10259	6450
614	10275	6432
615	10291	6415
616	10306	6397
617	10321	6379
618	10336	6362
619	10351	6344
620	10367	6327
621	10382	6309
622	10397	6292
623	10412	6274
624	10428	6256
625	10443	6239
626	10459	6222
627	10475	6205
628	10491	6188
629	10506	6170
630	10521	6152
631	10536	6135
632	10551	6117
633	10567	6100
634	10582	6082
635	10597	6065
636	10613	6048
637	10628	6030
638	10644	6013
639	10659	5996
640	10674	5978
641	10690	5961
642	10705	5943
643	10720	5926
644	10735	5908
645	10751	5891
646	10767	5874
647	10783	5857
648	10798	5840
649	10813	5822
650	10828	5805
651	10843	5787
652	10859	5770
653	10874	5753
654	10890	5736
655	10905	5718
656	10920	5701
657	10935	5684
658	10951	5666
659	10967	5649
660	10982	5632
661	10997	5615
662	11013	5598
663	11029	5581
664	11044	5563
665	11061	5547
666	11078	5531
667	11093	5513
668	11108	5496
669	11124	5479
670	11140	5462
671	11155	5444
672	11170	5427
673	11186	5410
674	11201	5393
675	11217	5376
676	11233	5359
677	11248	5342
678	11264	5325
679	11279	5308
680	11295	5290
681	11310	5273
682	11325	5256
683	11341	5239
684	11357	5222
685	11372	5205
686	11386	5187
687	11402	5170
688	11417	5153
689	11432	5136
690	11447	5119
691	11462	5102
692	11477	5084
693	11494	5067
694	11509	5050
695	11524	5033
696	11540	5016
697	11555	4999
698	11570	4982
699	11585	4965
700	11601	4948
701	11617	4931
702	11632	4914
703	11647	4897
704	11662	4880
705	11678	4863
706	11693	4846
707	11708	4829
708	11723	4811
709	11739	4794
710	11754	4777
711	11770	4761
712	11785	4743
713	11800	4726
714	11816	4709
715	11831	4692
716	11846	4675
717	11861	4658
718	11877	4641
719	11891	4624
720	11907	4607
721	11922	4590
722	11938	4573
723	11954	4557
724	11969	4540
725	11984	4522
726	11999	4506
727	12015	4489
728	12030	4472
729	12045	4455
730	12060	4438
731	12075	4421
732	12091	4404
733	12106	4387
734	12121	4370
735	12137	4353
736	12152	4336
737	12168	4319
738	12184	4303
739	12200	4286
740	12216	4269
741	12231	4252
742	12246	4236
743	12261	4219
744	12276	4202
745	12292	4185
746	12307	4168
747	12323	4151
748	12338	4134
749	12353	4117
750	12368	4100
751	12384	4084
752	12399	4067
753	12414	4050
754	12430	4033
755	12446	4017
756	12461	4000
